"article";"productgroup";"category";"cost";"style";"sizes";"gender";"rgb_r_main_col";"rgb_g_main_col";"rgb_b_main_col";"rgb_r_sec_col";"rgb_g_sec_col";"rgb_b_sec_col"
"OC6355";"SHOES";"TRAINING";13.29;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;104;57;255;187;255
"AP5568";"SHORTS";"TRAINING";2.29;"regular";"xxs,xs,s,m,l,xl,xxl";"women";188;238;104;255;187;255
"CB8861";"HARDWARE ACCESSORIES";"GOLF";1.7;"regular";"xxs,xs,s,m,l,xl,xxl";"women";205;173;0;255;187;255
"LI3529";"SHOES";"RUNNING";9;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";205;140;149;164;211;238
"GG8661";"SHOES";"RELAX CASUAL";9.6;"regular";"xxs,xs,s,m,l,xl,xxl";"women";138;43;226;164;211;238
"TX1463";"SWEATSHIRTS";"TRAINING";4.2;"wide";"xxs,xs,s,m,l,xl,xxl";"women";79;148;205;164;211;238
"PC6383";"SHOES";"FOOTBALL GENERIC";9.9;"wide";"xs,s,m,l,xl";"unisex";139;26;26;205;155;155
"VT7698";"SHOES";"INDOOR";5.2;"wide";"xxs,xs,s,m,l,xl,xxl";"women";135;206;250;205;155;155
"FG2965";"HARDWARE ACCESSORIES";"RUNNING";1.29;"slim";"xxs,xs,s,m,l,xl,xxl";"women";181;181;181;205;155;155
"AC7347";"SHOES";"FOOTBALL GENERIC";8.7;"regular";"xxs,xs,s,m,l,xl,xxl";"men";139;137;137;205;155;155
"VH1588";"SHOES";"TENNIS";7.8;"wide";"xs,s,m,l,xl";"women";180;205;205;250;235;215
"ZE9366";"SHORTS";"RUNNING";3.1;"regular";"xs,s,m,l,xl";"women";143;143;143;250;235;215
"EZ8648";"T-SHIRTS";"TRAINING";2.5;"slim";"xxs,xs,s,m,l,xl";"kids";238;197;145;250;235;215
"QK7994";"SHOES";"RUNNING";8.6;"slim";"xs,s,m,l";"women";255;250;240;250;235;215
"IR3275";"SHORTS";"FOOTBALL LICENSED";2.7;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";174;238;238;205;133;63
"PY2718";"SHOES";"OUTDOOR";12.6;"slim";"xxs,xs,s,m,l,xl";"women";205;173;0;205;133;63
"JC1565";"SHOES";"INDOOR";5.9;"regular";"xs,s,m,l,xl";"kids";74;112;139;205;133;63
"JY1726";"SWEATSHIRTS";"TRAINING";4.1;"regular";"xs,s,m,l,xl";"kids";238;180;34;205;133;63
"RE3197";"SHORTS";"BASKETBALL GENERIC";2.4;"wide";"xxs,xs,s,m,l";"women";248;248;255;69;139;116
"GP3497";"HARDWARE ACCESSORIES";"RUNNING";1.6;"wide";"xxs,xs,s,m,l,xl,xxl";"women";255;140;105;69;139;116
"TX8432";"SHOES";"INDOOR";6.3;"regular";"s,m,l,xl";"kids";255;174;185;69;139;116
"OU2254";"T-SHIRTS";"RUNNING";2.7;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";0;104;139;69;139;116
"SW2464";"SHOES";"FOOTBALL GENERIC";8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";143;143;143;69;139;116
"HM5731";"SHOES";"FOOTBALL GENERIC";11.8;"wide";"xs,s,m,l";"unisex";141;182;205;69;139;116
"AJ7542";"SHOES";"RUNNING";8.29;"slim";"s,m,l,xl";"unisex";168;168;168;115;115;115
"KI5716";"HARDWARE ACCESSORIES";"INDOOR";4.1;"slim";"xxs,xs,s,m,l,xl";"women";255;245;238;115;115;115
"XB1815";"HARDWARE ACCESSORIES";"RUNNING";1.4;"slim";"s,m,l,xl";"kids";139;121;94;115;115;115
"QO7834";"SHOES";"RUNNING";7.9;"regular";"xxs,xs,s,m,l,xl,xxl";"men";255;174;185;115;115;115
"WZ7972";"SHOES";"TRAINING";5.7;"slim";"xxs,xs,s,m,l,xl,xxl";"women";214;214;214;115;115;115
"FV6234";"PANTS";"TRAINING";3.1;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";154;205;50;0;154;205
"LR5226";"SHORTS";"TRAINING";2.29;"regular";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;0;154;205
"CA2479";"HARDWARE ACCESSORIES";"SWIM";0.7;"regular";"xxs,xs,s,m,l,xl,xxl";"women";180;205;205;0;154;205
"LU6658";"SHORTS";"RUNNING";2.9;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";54;54;54;0;154;205
"VT1698";"HARDWARE ACCESSORIES";"TRAINING";1.5;"regular";"xs,s,m,l";"kids";255;174;185;0;154;205
"EC5317";"SHOES";"INDOOR";6.3;"wide";"xs,s,m,l,xl";"women";209;209;209;0;154;205
"PY1419";"SHORTS";"TENNIS";3.8;"regular";"xxs,xs,s,m,l,xl,xxl";"women";174;238;238;131;139;131
"SC5839";"PANTS";"TRAINING";3.3;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";72;118;255;131;139;131
"GP6821";"T-SHIRTS";"FOOTBALL LICENSED";2.1;"regular";"xxs,xs,s,m,l";"unisex";188;238;104;131;139;131
"GR1127";"HARDWARE ACCESSORIES";"TRAINING";2.1;"slim";"s,m,l,xl";"women";240;128;128;131;139;131
"ZW6694";"SHOES";"RUNNING";10;"slim";"s,m,l,xl";"men";122;197;205;131;139;131
"TN7113";"SHOES";"FOOTBALL GENERIC";11.5;"wide";"xxs,xs,s,m,l,xl,xxl";"women";127;127;127;131;139;131
"ET7242";"SHORTS";"TRAINING";3;"regular";"xxs,xs,s,m,l,xl,xxl";"women";139;137;137;245;245;245
"DH6848";"HARDWARE ACCESSORIES";"RUNNING";1.7;"slim";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;245;245;245
"PW7632";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.4;"regular";"xs,s,m,l,xl";"women";205;96;144;245;245;245
"TS8227";"SHOES";"TRAINING";4.2;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;198;115;245;245;245
"QM3774";"SHOES";"FOOTBALL GENERIC";8.1;"regular";"xxs,xs,s,m,l,xl,xxl";"men";0;154;205;245;245;245
"OT2311";"HARDWARE ACCESSORIES";"TRAINING";9.1;"regular";"xxs,xs,s,m,l,xl,xxl";"women";54;54;54;245;245;245
"AA7884";"SWEATSHIRTS";"TRAINING";4.3;"slim";"xxs,xs,s,m,l,xl,xxl";"men";205;155;155;245;245;245
"GC8114";"SHOES";"INDOOR";4.2;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";0;154;205;245;245;245
"YI3589";"SHOES";"BASKETBALL GENERIC";9.8;"regular";"s,m,l,xl,xxl";"kids";238;149;114;245;245;245
"VK5535";"SHOES";"INDOOR";9.8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";192;255;62;205;104;57
"FF7283";"SHOES";"RUNNING";8.8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";205;140;149;205;104;57
"AN4895";"HARDWARE ACCESSORIES";"INDOOR";4.1;"regular";"xxs,xs,s,m,l,xl";"women";214;214;214;205;104;57
"IF7337";"SHOES";"ORIGINALS";6.9;"slim";"xxs,xs,s,m,l,xl";"unisex";238;220;130;139;10;80
"VD4566";"PANTS";"OUTDOOR";7;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";205;201;201;139;10;80
"BE2333";"SHOES";"TRAINING";5.4;"wide";"xs,s,m,l";"women";139;69;0;154;205;50
"NL2136";"SHOES";"OUTDOOR";7.7;"slim";"xxs,xs,s,m,l,xl";"unisex";205;41;144;154;205;50
"KJ9185";"SHOES";"RUNNING";9.6;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";250;235;215;154;205;50
"AT7497";"SHORTS";"FOOTBALL LICENSED";2.5;"wide";"xxs,xs,s,m,l,xl,xxl";"women";214;214;214;154;205;50
"MA7179";"SHORTS";"FOOTBALL LICENSED";2.6;"slim";"xs,s,m,l,xl";"kids";139;76;57;154;205;50
"KO9295";"SHOES";"FOOTBALL GENERIC";10.2;"slim";"s,m,l,xl";"men";139;121;94;154;205;50
"QT2338";"SHOES";"DRESS CASUAL";6.6;"slim";"xxs,xs,s,m,l,xl,xxl";"men";238;106;167;154;205;50
"BX9481";"SHOES";"TRAINING";5.4;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";179;238;58;154;205;50
"VE4993";"SHORTS";"RUNNING";3.1;"slim";"xxs,xs,s,m,l,xl,xxl";"women";0;245;255;154;205;50
"CA2199";"SHOES";"OUTDOOR";8.4;"wide";"xs,s,m,l,xl";"men";205;183;158;154;205;50
