iter	Passed	Remaining
0	188	77172
1	223	45754
2	257	35002
3	289	29497
4	323	26256
5	363	24525
6	394	22786
7	429	21655
8	464	20758
9	496	19904
10	531	19345
11	571	18994
12	605	18530
13	634	17989
14	666	17593
15	703	17378
16	743	17241
17	782	17080
18	821	16946
19	865	16911
20	948	17606
21	1035	18309
22	1064	17964
23	1098	17714
24	1128	17421
25	1157	17133
26	1184	16844
27	1213	16597
28	1241	16355
29	1267	16095
30	1295	15885
31	1323	15674
32	1352	15491
33	1379	15293
34	1403	15079
35	1432	14921
36	1460	14764
37	1488	14606
38	1513	14438
39	1539	14282
40	1565	14129
41	1593	14002
42	1620	13865
43	1649	13759
44	1679	13659
45	1708	13559
46	1735	13440
47	1762	13328
48	1791	13233
49	1819	13133
50	1849	13054
51	1877	12964
52	1903	12858
53	1935	12797
54	1963	12711
55	1992	12633
56	2021	12554
57	2050	12479
58	2077	12395
59	2106	12322
60	2133	12241
61	2161	12167
62	2190	12100
63	2218	12026
64	2244	11950
65	2275	11895
66	2303	11824
67	2331	11759
68	2358	11691
69	2385	11621
70	2414	11562
71	2444	11509
72	2472	11446
73	2498	11379
74	2528	11326
75	2556	11269
76	2585	11216
77	2610	11145
78	2636	11078
79	2664	11023
80	2689	10958
81	2711	10880
82	2736	10812
83	2762	10754
84	2791	10705
85	2815	10639
86	2843	10590
87	2869	10533
88	2894	10473
89	2918	10409
90	2944	10353
91	2968	10293
92	2991	10230
93	3017	10174
94	3048	10141
95	3081	10110
96	3111	10072
97	3142	10035
98	3178	10018
99	3210	9984
100	3240	9944
101	3264	9890
102	3289	9835
103	3314	9783
104	3343	9743
105	3371	9702
106	3400	9660
107	3428	9618
108	3453	9567
109	3481	9526
110	3509	9485
111	3535	9437
112	3561	9391
113	3587	9345
114	3612	9298
115	3642	9263
116	3667	9215
117	3691	9166
118	3714	9114
119	3792	9196
120	3817	9149
121	3843	9104
122	3868	9057
123	3892	9010
124	3918	8965
125	3946	8927
126	3976	8891
127	4004	8854
128	4032	8814
129	4061	8779
130	4090	8743
131	4119	8707
132	4147	8669
133	4177	8635
134	4204	8596
135	4234	8561
136	4263	8527
137	4289	8486
138	4318	8451
139	4345	8412
140	4371	8370
141	4398	8332
142	4426	8296
143	4452	8255
144	4478	8215
145	4506	8178
146	4531	8138
147	4556	8096
148	4583	8060
149	4615	8030
150	4644	7997
151	4685	7984
152	4721	7962
153	4750	7928
154	4782	7899
155	4816	7872
156	4843	7836
157	4876	7808
158	4905	7774
159	4936	7744
160	4962	7705
161	4994	7676
162	5027	7649
163	5057	7617
164	5086	7583
165	5116	7552
166	5145	7517
167	5176	7486
168	5202	7450
169	5240	7429
170	5276	7405
171	5312	7382
172	5349	7359
173	5392	7345
174	5422	7312
175	5453	7281
176	5483	7248
177	5514	7218
178	5541	7182
179	5570	7148
180	5602	7119
181	5631	7086
182	5660	7052
183	5688	7018
184	5718	6986
185	5752	6958
186	5779	6923
187	5810	6892
188	5836	6855
189	5865	6821
190	5892	6787
191	5919	6751
192	5947	6717
193	5976	6685
194	6004	6650
195	6031	6616
196	6062	6585
197	6091	6552
198	6119	6518
199	6152	6491
200	6182	6458
201	6208	6423
202	6235	6388
203	6263	6356
204	6289	6320
205	6316	6285
206	6344	6252
207	6373	6220
208	6403	6188
209	6431	6155
210	6460	6123
211	6492	6094
212	6527	6067
213	6564	6042
214	6596	6013
215	6633	5988
216	6670	5963
217	6707	5938
218	6743	5911
219	6772	5880
220	6806	5851
221	6834	5818
222	6867	5789
223	6894	5755
224	6928	5727
225	6963	5700
226	7004	5677
227	7036	5647
228	7068	5617
229	7100	5588
230	7130	5555
231	7161	5525
232	7191	5493
233	7222	5462
234	7254	5433
235	7285	5402
236	7314	5369
237	7345	5339
238	7369	5303
239	7397	5270
240	7425	5237
241	7459	5209
242	7494	5181
243	7525	5150
244	7558	5121
245	7590	5091
246	7621	5060
247	7650	5028
248	7676	4994
249	7702	4960
250	7731	4928
251	7761	4897
252	7786	4862
253	7815	4830
254	7840	4796
255	7868	4764
256	7893	4730
257	7922	4698
258	7950	4665
259	7979	4634
260	8008	4602
261	8037	4570
262	8064	4538
263	8092	4505
264	8119	4473
265	8150	4442
266	8176	4410
267	8202	4376
268	8232	4345
269	8257	4312
270	8285	4280
271	8310	4246
272	8335	4213
273	8361	4180
274	8388	4148
275	8412	4114
276	8439	4082
277	8464	4049
278	8494	4018
279	8526	3988
280	8589	3973
281	8679	3970
282	8712	3940
283	8750	3912
284	8791	3886
285	8822	3855
286	8848	3823
287	8873	3789
288	8908	3760
289	8932	3727
290	8960	3695
291	8988	3662
292	9014	3630
293	9036	3596
294	9061	3562
295	9087	3530
296	9112	3497
297	9140	3466
298	9173	3436
299	9209	3407
300	9235	3374
301	9263	3343
302	9296	3313
303	9329	3283
304	9356	3251
305	9387	3221
306	9416	3190
307	9448	3159
308	9476	3128
309	9508	3097
310	9537	3066
311	9567	3035
312	9593	3003
313	9623	2972
314	9654	2942
315	9699	2915
316	9745	2889
317	9848	2880
318	9906	2857
319	9945	2828
320	9981	2798
321	10007	2766
322	10038	2734
323	10067	2703
324	10092	2670
325	10122	2639
326	10150	2607
327	10174	2574
328	10201	2542
329	10228	2510
330	10254	2478
331	10286	2447
332	10314	2416
333	10348	2385
334	10378	2354
335	10411	2323
336	10445	2293
337	10474	2262
338	10508	2231
339	10538	2200
340	10570	2169
341	10601	2138
342	10630	2107
343	10666	2077
